title,release_date,Album,cleaned_lyrics,WordLength
False Confidence,2018-09-21,Busyhead,dont take seriously look dress someone never see youre reason dont know youre split uneven hand sky surrender wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake young hope wake young dont let demon fill void polished doubt fake sentiment surrender wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake young see noah kahan liveget ticket low might also like hope wake young hope wake young wont take seriously look fuck someone ill never meet wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake wonder tear built back oh hope somehow wake young thats left hole false confidence lay hope wake young hope wake young hope wake young againembed dont take seriously look dress someone never see youre reason dont know youre split uneven hand sky surrender wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake young hope wake young dont let demon fill void polished doubt fake sentiment surrender wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake young hope wake young hope wake young wont take seriously look fuck someone ill never meet wonder tear built back oh hope somehow ill wake young thats left hole false confidence lay hope wake wonder tear built back oh hope somehow wake young thats left hole false confidence lay hope wake young hope wake young hope wake young,1512
"Everywhere, Everything",2022-10-14,Stick Season (Forever),oohooh ooh ooh ooh long year would survive horror movie doubt slow move trust everyone meet two body riddle scar preteen intertwine car dirty backseat stare drivein screen didnt know sun collapse til sea rise building come crash cry oh ohoh oh ohoh oh everywhere everything wan na love til food worm eat til finger decompose keep hand everywhеre everything wan na lovе til food worm eat til finger decompose keep hand oohooh ooh ooh ooh ooh drive slowly know every route county maybe aint bad thing ill tell speed long year book page dogeared well write end palm dear forget read see noah kahan liveget ticket low might also like didnt know sun collapse til sea rise building come crash cry oh ohoh oh ohoh oh everywhere everything wan na love til food worm eat til finger decompose keep hand everywhere everything wan na love til food worm eat til finger decompose keep hand everywhere everything wan na love til food worm eat til finger decompose keep hand yoursembed oohooh ooh ooh ooh long year would survive horror movie doubt slow move trust everyone meet two body riddle scar preteen intertwine car dirty backseat stare drivein screen didnt know sun collapse til sea rise building come crash cry oh ohoh oh ohoh oh everywhere everything wan na love til food worm eat til finger decompose keep hand everywhеre everything wan na lovе til food worm eat til finger decompose keep hand oohooh ooh ooh ooh ooh drive slowly know every route county maybe aint bad thing ill tell speed long year book page dogeared well write end palm dear forget read didnt know sun collapse til sea rise building come crash cry oh ohoh oh ohoh oh everywhere everything wan na love til food worm eat til finger decompose keep hand everywhere everything wan na love til food worm eat til finger decompose keep hand everywhere everything wan na love til food worm eat til finger decompose keep hand,1878
Northern Attitude,2022-09-16,Stick Season (Forever),breathin breathin settle feelin right feelin proud kid build boat build life lose friend lose wife settle routine mean get close im hop forgive northern attitude oh raise cold sun dont rise til summertime forgive northern attitude oh raise little light bought shit search online youre gettin lose youre gettin high alone late life scar live scar die build boat build life lose kid lose wife settle youre feelin lose youre gettin stone kickin rock one two three four see noah kahan liveget ticket low might also like get close im hop forgive northern attitude oh raise cold sun dont rise til summertime forgive northern attitude oh raise little light ohohohohoh ahahahah ohohohohoh ahahahah ohohohohoh ahahahah oh ohohohohoh ahahahah oh get close im hop forgive northern attitude oh raise cold sun dont shine til summertime forgive northern attitude oh raise little light sickembed breathin breathin settle feelin right feelin proud kid build boat build life lose friend lose wife settle routine mean get close im hop forgive northern attitude oh raise cold sun dont rise til summertime forgive northern attitude oh raise little light bought shit search online youre gettin lose youre gettin high alone late life scar live scar die build boat build life lose kid lose wife settle youre feelin lose youre gettin stone kickin rock one two three four get close im hop forgive northern attitude oh raise cold sun dont rise til summertime forgive northern attitude oh raise little light ohohohohoh ahahahah ohohohohoh ahahahah ohohohohoh ahahahah oh ohohohohoh ahahahah oh get close im hop forgive northern attitude oh raise cold sun dont shine til summertime forgive northern attitude oh raise little light sick,1706
The View Between Villages,2023-06-09,Stick Season (Forever),air lung til road begin last bug leave home im splittin road middle minute world seem simple feel rush blood im seventeen scar death ive get dream curve valley meanin earth happy ohoh ohohohoh oh oh oh past alger brook road im bridge minute home feel far death dog stretch skin washin im angry thing lose people knew get surround mile two car reverse im grippin wheel im back village everythings still see noah kahan liveget ticket low might also like personally found town big enough anything want mean im city girl hahaha mean strafford still lot meaning grow well guess small— ah ah ahah ahah small community uh people really look ah ah ah thats way anybody need anything this— community help ah ah ah ah ah ah ooh woah ahoh thing lose people knew get surround mile two left graveyard im drive past ghost arm extend eye start close car reverse im grippin wheel im back village everythings stillembed air lung til road begin last bug leave home im splittin road middle minute world seem simple feel rush blood im seventeen scar death ive get dream curve valley meanin earth happy ohoh ohohohoh oh oh oh past alger brook road im bridge minute home feel far death dog stretch skin washin im angry thing lose people knew get surround mile two car reverse im grippin wheel im back village everythings still personally found town big enough anything want mean im city girl hahaha mean strafford still lot meaning grow well guess small— ah ah ahah ahah small community uh people really look ah ah ah thats way anybody need anything this— community help ah ah ah ah ah ah ooh woah ahoh thing lose people knew get surround mile two left graveyard im drive past ghost arm extend eye start close car reverse im grippin wheel im back village everythings still,1750
Hurt Somebody,2017-09-15,Hurt Somebody - EP,take slowly im afraid lonely nobody told harder thought tell truth gon na leave piece alone demon know need ive afraid follow hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebody dont know time go stuck wrong mindset let rule bend know along theyre make break get search reason keep leave night trouble breathing give another chance stay see noah kahan liveget ticket low might also like hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebody one day know see pain irony youll feel sting youll think cause hurt hurt hold close wont leave cause hurt hurt somebody much say dont speak hate let stop hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebodyembed take slowly im afraid lonely nobody told harder thought tell truth gon na leave piece alone demon know need ive afraid follow hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebody dont know time go stuck wrong mindset let rule bend know along theyre make break get search reason keep leave night trouble breathing give another chance stay hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebody one day know see pain irony youll feel sting youll think cause hurt hurt hold close wont leave cause hurt hurt somebody much say dont speak hate let stop hold close wont leave cause hurt hurt somebody much say dont speak hate let stop cause hurt hurt somebody,1568
Paul Revere,2023-06-09,Stick Season (Forever),county line im countin mailbox house place heartbeat day vail bought mountain nothing yes boy drunk sun high license plate live free die aint simple never well drink til new year theyll leave clean one day im gon na cut clear ride like paul revere ask ill say im around ill leave road crew jogger look way proud ill turn music ill forget end im ready let go yet one day im gon na cut clear ride like paul revere ask ill pretend didnt hear typical fear folk disappear ask ill say im around see noah kahan liveget ticket low might also like ill say im around im car see yard patch grass bury dog world make sense behind chainlink fence could leave wouldve already left im car see yard patch grass bury dog world make sense behind chainlink fence could leave wouldve already left wouldve already leftembed county line im countin mailbox house place heartbeat day vail bought mountain nothing yes boy drunk sun high license plate live free die aint simple never well drink til new year theyll leave clean one day im gon na cut clear ride like paul revere ask ill say im around ill leave road crew jogger look way proud ill turn music ill forget end im ready let go yet one day im gon na cut clear ride like paul revere ask ill pretend didnt hear typical fear folk disappear ask ill say im around ill say im around im car see yard patch grass bury dog world make sense behind chainlink fence could leave wouldve already left im car see yard patch grass bury dog world make sense behind chainlink fence could leave wouldve already left wouldve already left,1550
New Perspective,2022-10-14,Stick Season (Forever),ooh silence make nostalgic two size big shirt apartment oh kid dont make less hard could fly doubt id even id probably get high crash something stupid make ohio feel like central park liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back give word cant pronounce thing sure cant learn doubt state bird sings song key see noah kahan liveget ticket low might also like liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back drag back liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back drag back drag back downembed ooh silence make nostalgic two size big shirt apartment oh kid dont make less hard could fly doubt id even id probably get high crash something stupid make ohio feel like central park liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back give word cant pronounce thing sure cant learn doubt state bird sings song key liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back drag back liberal redneck get drunk dirt road attention deficit kid gym clothes paper bag drift wherever wind blow mine full receipt ooh town record intersection get target theyre call downtown new perspective wish could shut closet drag back drag back drag back,2043
Growing Sideways,2022-10-14,Stick Season (Forever),take medication pour trauma sadeyed middleaged man overprice new leather couch argue jesus finally found middle ground say im cure divvied anger thirty separate part keep bad shit liver rest around heart im still angry parent parent start ignore thing move sideways til forget felt first place end day know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive guess ill drive forgot medication fell manic high spent saving lulu im sufferin style pain damn impatient aint like get place keep rushin see noah kahan liveget ticket low might also like ignore thing move sideways til forget felt first place end day know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive life waste dont mind ill watch go yeah well die numb feel oh time waste dont mind ill watch go yeah well die numb feel ignore thing move sideways forget felt first place end day lord know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive guess ill driveembed take medication pour trauma sadeyed middleaged man overprice new leather couch argue jesus finally found middle ground say im cure divvied anger thirty separate part keep bad shit liver rest around heart im still angry parent parent start ignore thing move sideways til forget felt first place end day know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive guess ill drive forgot medication fell manic high spent saving lulu im sufferin style pain damn impatient aint like get place keep rushin ignore thing move sideways til forget felt first place end day know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive life waste dont mind ill watch go yeah well die numb feel oh time waste dont mind ill watch go yeah well die numb feel ignore thing move sideways forget felt first place end day lord know bad way stay alive cause everyones grow everyones healthy im terrify might never met oh engine work perfect empty guess ill drive guess ill drive,2268
She Calls Me Back,2022-10-14,Stick Season (Forever),oh heaven eye baptize everythings alright call back call back lose long time two parallel line everything ’ alright call back call back yeah look dont lie could sacrifice dont hold head high bullshit time could old tattoo remind get bad news exist die live die save bite edge lie awake restless obsessive hang every sentence town ’ left page blank read still dial see noah kahan liveget ticket low might also like oh heaven eye baptize everythings alright call back call back lose long time two parallel line everythings alright call back call back radio taunt every song minor key dont get much sleep night im see every dream could wake could fall asleep ill love ocean dry ill love river freeze bite edge lie awake restless obsessive hang every sentence town left page blank read still dial oh heaven eye baptize everything ’ alright call back call back lose long time two parallel line everything ’ alright call back call back call back pain save oh afraid living life footstep heart head oh afraid living life footstep living life footstep living life footstep still call back still call meembed oh heaven eye baptize everythings alright call back call back lose long time two parallel line everything ’ alright call back call back yeah look dont lie could sacrifice dont hold head high bullshit time could old tattoo remind get bad news exist die live die save bite edge lie awake restless obsessive hang every sentence town ’ left page blank read still dial oh heaven eye baptize everythings alright call back call back lose long time two parallel line everythings alright call back call back radio taunt every song minor key dont get much sleep night im see every dream could wake could fall asleep ill love ocean dry ill love river freeze bite edge lie awake restless obsessive hang every sentence town left page blank read still dial oh heaven eye baptize everything ’ alright call back call back lose long time two parallel line everything ’ alright call back call back call back pain save oh afraid living life footstep heart head oh afraid living life footstep living life footstep living life footstep still call back still call,2141
Strawberry Wine,2022-10-14,Stick Season (Forever),darling speak dont say word light cigarette ill watch burn remember tell thought curse im love every song youve ever heard could lose would bury bone plywood could lose would bury bone plywood say love fast asleep dirt road head shoulder strawberry wine time use thing miss know never come back darling thing definеs man like love make soft sеntimental like stranger park moment see empty space formless shape wed fit love leaf little runway every time run straight empty space formless shape wed fit love leaf little runway every time run straight see noah kahan liveget ticket low might also like ooh ooh ooh ooh ooh ooh oohooh ooh ooh oohooh ooh ooh oohooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh ooh oohooh ooh ooh ooh ooh ooh oohooh ooh ooh ooh oohoohembed darling speak dont say word light cigarette ill watch burn remember tell thought curse im love every song youve ever heard could lose would bury bone plywood could lose would bury bone plywood say love fast asleep dirt road head shoulder strawberry wine time use thing miss know never come back darling thing definеs man like love make soft sеntimental like stranger park moment see empty space formless shape wed fit love leaf little runway every time run straight empty space formless shape wed fit love leaf little runway every time run straight ooh ooh ooh ooh ooh ooh oohooh ooh ooh oohooh ooh ooh oohooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh oohooh ooh ooh ooh ooh oohooh ooh ooh ooh ooh ooh oohooh ooh ooh ooh oohooh,1548
Pain Is Cold Water,,NK4*,im tall glass water lose kitchen im casually cruel like senior prediction likely leave sign fork road look like father news deliver cut hole heart bleed liver miss alone didnt mean alone love contagious might immune pain like cold water brain get use try keep swim keep dad good word theyre fight like dog thе town across river brandnew crosswalk wont matter come winter sometimes folk need something angry angry aint bitter bout much day way im damn lucky miner stayed good old day yes real men use sleep roadside graf friend still lay walk weep say kill time aint homicide prayer leap year see noah kahan liveget ticket low might also like oh im roach drawer live long im rumble war get hard ignore well love sometimes folk need something scream scream im hill distance see cant need half lord need completely oh sometimes folk need something scream aint bitter bout much day way im damn lucky miner stayed good old day yes real men use sleep roadside graf friend still lay walk weep say kill time aint homicide prayer leap year say kill time aint homicide prayer leap year ooh im college kid window im astronaut youre moon stare sing im im ground im college kid window im astronaut youre moon sing scream ill stare ill sting youembed im tall glass water lose kitchen im casually cruel like senior prediction likely leave sign fork road look like father news deliver cut hole heart bleed liver miss alone didnt mean alone love contagious might immune pain like cold water brain get use try keep swim keep dad good word theyre fight like dog thе town across river brandnew crosswalk wont matter come winter sometimes folk need something angry angry aint bitter bout much day way im damn lucky miner stayed good old day yes real men use sleep roadside graf friend still lay walk weep say kill time aint homicide prayer leap year oh im roach drawer live long im rumble war get hard ignore well love sometimes folk need something scream scream im hill distance see cant need half lord need completely oh sometimes folk need something scream aint bitter bout much day way im damn lucky miner stayed good old day yes real men use sleep roadside graf friend still lay walk weep say kill time aint homicide prayer leap year say kill time aint homicide prayer leap year ooh im college kid window im astronaut youre moon stare sing im im ground im college kid window im astronaut youre moon sing scream ill stare ill sting,2414
